settlement_date,settlement_period,ssp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment,price_derivation_code,replacement_price,settlement_datetime,ssp_raw,is_spike,abs_imbalance_volume,price_derivation_code_P
2021-05-17,1,95.5,141.0545,0.0,0.0,P,95.5,2021-05-17 00:00:00,95.5,0,141.0545,1
2021-05-17,2,92.0,105.1705,0.0,0.0,P,92.0,2021-05-17 00:30:00,92.0,0,105.1705,1
2021-05-17,3,89.0,53.1001,0.0,0.0,P,89.0,2021-05-17 01:00:00,89.0,0,53.1001,1
2021-05-17,4,89.0,24.7585,0.0,0.0,P,89.0,2021-05-17 01:30:00,89.0,0,24.7585,1
2021-05-17,5,19.71,-2.175,0.0,0.0,N,19.71,2021-05-17 02:00:00,19.71,0,2.175,0
2021-05-17,6,85.0,128.1667,0.0,0.0,P,85.0,2021-05-17 02:30:00,85.0,0,128.1667,1
2021-05-17,7,89.0,193.7282,0.0,0.0,P,89.0,2021-05-17 03:00:00,89.0,0,193.7282,1
2021-05-17,8,89.0,139.7945,0.0,0.0,P,89.0,2021-05-17 03:30:00,89.0,0,139.7945,1
2021-05-17,9,85.0,72.275,0.0,0.0,P,85.0,2021-05-17 04:00:00,85.0,0,72.275,1
2021-05-17,10,89.0,109.1867,0.0,0.0,P,89.0,2021-05-17 04:30:00,89.0,0,109.1867,1
2021-05-17,11,60.2104,-49.2151,0.0,0.0,N,60.2104,2021-05-17 05:00:00,60.2104,0,49.2151,0
2021-05-17,12,92.0,63.672,0.0,0.0,P,92.0,2021-05-17 05:30:00,92.0,0,63.672,1
2021-05-17,13,98.9,449.3091,0.0,0.0,P,98.9,2021-05-17 06:00:00,98.9,0,449.3091,1
2021-05-17,14,104.5,539.6694,0.0,0.0,P,104.5,2021-05-17 06:30:00,104.5,0,539.6694,1
2021-05-17,15,119.9,330.9652,0.0,0.0,P,119.9,2021-05-17 07:00:00,119.9,0,330.9652,1
2021-05-17,16,125.0,503.64532,0.0,0.0,P,125.0,2021-05-17 07:30:00,125.0,0,503.64532,1
2021-05-17,17,119.19979,362.9985,0.0,0.0,P,119.19979,2021-05-17 08:00:00,119.19979,0,362.9985,1
2021-05-17,18,119.9,518.8985,0.0,0.0,P,119.9,2021-05-17 08:30:00,119.9,0,518.8985,1
2021-05-17,19,125.0,640.875,0.0,0.0,P,125.0,2021-05-17 09:00:00,125.0,0,640.875,1
