settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-06-30 00:00:00,2026-06-30,1,88.25,50.07,88.25,117.45,98.86,-10.62
2026-06-30 00:30:00,2026-06-30,2,88.3,46.38,88.3,121.24,98.86,-10.57
2026-06-30 01:00:00,2026-06-30,3,85.06,41.97,85.06,119.17,98.86,-13.81
2026-06-30 01:30:00,2026-06-30,4,88.74,46.7,88.74,121.8,98.86,-10.13
2026-06-30 02:00:00,2026-06-30,5,88.69,47.22,88.69,121.18,98.86,-10.17
2026-06-30 02:30:00,2026-06-30,6,86.78,44.16,86.78,120.42,98.86,-12.09
2026-06-30 03:00:00,2026-06-30,7,85.29,46.8,85.29,114.81,98.86,-13.57
2026-06-30 03:30:00,2026-06-30,8,81.67,38.73,81.67,115.63,98.86,-17.2
2026-06-30 04:00:00,2026-06-30,9,81.62,37.66,81.62,116.61,98.86,-17.24
2026-06-30 04:30:00,2026-06-30,10,86.13,40.62,86.13,122.66,98.86,-12.74
2026-06-30 05:00:00,2026-06-30,11,96.37,50.92,96.37,132.84,98.86,-2.5
2026-06-30 05:30:00,2026-06-30,12,92.15,45.39,92.15,129.95,98.86,-6.71
2026-06-30 06:00:00,2026-06-30,13,106.82,61.41,106.82,143.25,98.86,7.95
2026-06-30 06:30:00,2026-06-30,14,101.11,59.26,101.11,133.98,98.86,2.24
2026-06-30 07:00:00,2026-06-30,15,97.3,52.16,97.3,133.48,98.86,-1.56
2026-06-30 07:30:00,2026-06-30,16,93.55,50.18,93.55,127.95,98.86,-5.31
2026-06-30 08:00:00,2026-06-30,17,95.19,46.77,95.19,134.63,98.86,-3.68
2026-06-30 08:30:00,2026-06-30,18,89.38,43.64,89.38,126.15,98.86,-9.48
2026-06-30 09:00:00,2026-06-30,19,86.52,36.87,86.52,127.2,98.86,-12.34
2026-06-30 09:30:00,2026-06-30,20,84.68,35.43,84.68,124.95,98.86,-14.19
2026-06-30 10:00:00,2026-06-30,21,78.07,25.11,78.07,122.06,98.86,-20.79
2026-06-30 10:30:00,2026-06-30,22,80.41,23.89,80.41,127.96,98.86,-18.45
2026-06-30 11:00:00,2026-06-30,23,85.64,30.82,85.64,131.48,98.86,-13.23
2026-06-30 11:30:00,2026-06-30,24,92.09,42.7,92.09,132.5,98.86,-6.77
2026-06-30 12:00:00,2026-06-30,25,80.38,26.35,80.38,125.44,98.86,-18.48
2026-06-30 12:30:00,2026-06-30,26,77.27,19.26,77.27,126.3,98.86,-21.6
2026-06-30 13:00:00,2026-06-30,27,65.88,14.42,65.88,108.36,98.86,-32.99
2026-06-30 13:30:00,2026-06-30,28,61.77,11.41,61.77,103.16,98.86,-37.09
2026-06-30 14:00:00,2026-06-30,29,61.63,7.31,61.63,106.97,98.86,-37.24
2026-06-30 14:30:00,2026-06-30,30,46.55,-9.6,46.55,93.72,98.86,-52.32
2026-06-30 15:00:00,2026-06-30,31,59.52,2.8,59.52,107.26,98.86,-39.35
2026-06-30 15:30:00,2026-06-30,32,58.53,-0.37,58.53,108.45,98.86,-40.34
2026-06-30 16:00:00,2026-06-30,33,92.88,28.91,92.88,147.88,98.86,-5.98
2026-06-30 16:30:00,2026-06-30,34,95.66,32.68,95.66,149.66,98.86,-3.21
2026-06-30 17:00:00,2026-06-30,35,110.24,58.7,110.24,152.81,98.86,11.38
2026-06-30 17:30:00,2026-06-30,36,123.88,68.19,123.88,170.6,98.86,25.02
2026-06-30 18:00:00,2026-06-30,37,167.3,110.66,167.3,214.96,98.86,68.44
2026-06-30 18:30:00,2026-06-30,38,148.24,101.05,148.24,186.45,98.86,49.37
2026-06-30 19:00:00,2026-06-30,39,164.62,116.86,164.62,203.41,98.86,65.76
2026-06-30 19:30:00,2026-06-30,40,148.28,103.17,148.28,184.41,98.86,49.41
2026-06-30 20:00:00,2026-06-30,41,146.77,96.09,146.77,188.47,98.86,47.9
2026-06-30 20:30:00,2026-06-30,42,141.01,96.1,141.01,176.94,98.86,42.14
2026-06-30 21:00:00,2026-06-30,43,133.39,88.16,133.39,169.64,98.86,34.52
2026-06-30 21:30:00,2026-06-30,44,145.99,103.0,145.99,180.0,98.86,47.13
2026-06-30 22:00:00,2026-06-30,45,116.61,72.88,116.61,151.37,98.86,17.75
2026-06-30 22:30:00,2026-06-30,46,115.17,70.57,115.17,150.79,98.86,16.3
2026-06-30 23:00:00,2026-06-30,47,118.75,67.81,118.75,160.72,98.86,19.89
2026-06-30 23:30:00,2026-06-30,48,112.12,69.94,112.12,145.32,98.86,13.25
