settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,spike_prob
2026-05-19 00:00:00,2026-05-19,1,89.53,77.69,89.53,117.6,0.0
2026-05-19 00:30:00,2026-05-19,2,91.2,79.82,91.2,122.39,0.0
2026-05-19 01:00:00,2026-05-19,3,92.68,79.21,92.68,118.33,0.0
2026-05-19 01:30:00,2026-05-19,4,92.63,77.84,92.63,111.9,0.0
2026-05-19 02:00:00,2026-05-19,5,93.72,78.16,93.72,105.27,0.0
2026-05-19 02:30:00,2026-05-19,6,95.19,80.11,95.19,106.56,0.0
2026-05-19 03:00:00,2026-05-19,7,96.38,78.53,96.38,105.13,0.0
2026-05-19 03:30:00,2026-05-19,8,97.22,72.3,97.22,105.83,0.0
2026-05-19 04:00:00,2026-05-19,9,97.82,79.0,97.82,106.67,0.0
2026-05-19 04:30:00,2026-05-19,10,97.79,75.57,97.79,110.05,0.0
2026-05-19 05:00:00,2026-05-19,11,98.21,70.29,98.21,111.08,0.0
2026-05-19 05:30:00,2026-05-19,12,97.93,80.96,97.93,121.38,0.0
2026-05-19 06:00:00,2026-05-19,13,99.56,80.97,99.56,130.58,0.0001
2026-05-19 06:30:00,2026-05-19,14,101.18,82.25,101.18,135.19,0.0001
2026-05-19 07:00:00,2026-05-19,15,102.41,85.27,102.41,132.33,0.0001
2026-05-19 07:30:00,2026-05-19,16,101.64,83.69,101.64,127.39,0.0001
2026-05-19 08:00:00,2026-05-19,17,100.43,83.47,100.43,121.6,0.0001
2026-05-19 08:30:00,2026-05-19,18,100.02,82.73,100.02,120.18,0.0
2026-05-19 09:00:00,2026-05-19,19,99.44,82.71,99.44,115.02,0.0001
2026-05-19 09:30:00,2026-05-19,20,98.59,79.74,98.59,115.82,0.0
2026-05-19 10:00:00,2026-05-19,21,98.75,80.42,98.75,112.83,0.0001
2026-05-19 10:30:00,2026-05-19,22,98.55,78.68,98.55,112.02,0.0001
2026-05-19 11:00:00,2026-05-19,23,98.41,98.09,98.41,113.15,0.0
2026-05-19 11:30:00,2026-05-19,24,98.4,81.09,98.4,113.86,0.0
2026-05-19 12:00:00,2026-05-19,25,98.67,81.08,98.67,110.14,0.0001
2026-05-19 12:30:00,2026-05-19,26,97.59,68.78,97.59,104.92,0.0002
2026-05-19 13:00:00,2026-05-19,27,97.21,78.6,97.21,106.26,0.0001
2026-05-19 13:30:00,2026-05-19,28,97.28,78.99,97.28,105.72,0.0001
2026-05-19 14:00:00,2026-05-19,29,97.32,80.0,97.32,105.39,0.0
2026-05-19 14:30:00,2026-05-19,30,97.41,80.22,97.41,108.54,0.0
2026-05-19 15:00:00,2026-05-19,31,98.14,80.8,98.14,119.29,0.0
2026-05-19 15:30:00,2026-05-19,32,97.59,82.51,97.59,108.53,0.0001
2026-05-19 16:00:00,2026-05-19,33,98.56,82.12,98.56,126.86,0.0001
2026-05-19 16:30:00,2026-05-19,34,99.5,82.55,99.5,132.2,0.0001
2026-05-19 17:00:00,2026-05-19,35,99.9,82.57,99.9,133.22,0.0002
2026-05-19 17:30:00,2026-05-19,36,101.14,82.96,101.14,137.15,0.0001
2026-05-19 18:00:00,2026-05-19,37,101.57,84.67,101.57,132.31,0.0001
2026-05-19 18:30:00,2026-05-19,38,101.33,83.5,101.33,131.74,0.0002
2026-05-19 19:00:00,2026-05-19,39,101.66,84.68,101.66,134.8,0.0001
2026-05-19 19:30:00,2026-05-19,40,100.62,84.86,100.62,119.41,0.0001
2026-05-19 20:00:00,2026-05-19,41,99.46,85.34,99.46,107.59,0.0001
2026-05-19 20:30:00,2026-05-19,42,98.09,84.65,98.09,118.51,0.0001
2026-05-19 21:00:00,2026-05-19,43,96.68,81.67,96.68,124.3,0.0001
2026-05-19 21:30:00,2026-05-19,44,95.5,77.78,95.5,131.76,0.0
2026-05-19 22:00:00,2026-05-19,45,95.81,77.53,95.81,111.15,0.0001
2026-05-19 22:30:00,2026-05-19,46,95.06,76.43,95.06,101.48,0.0
2026-05-19 23:00:00,2026-05-19,47,94.29,73.63,94.29,100.88,0.0
2026-05-19 23:30:00,2026-05-19,48,92.44,72.33,92.44,100.35,0.0
