settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-05-30 00:00:00,2026-05-30,1,114.22,79.04,114.22,142.25,98.45,15.76
2026-05-30 00:30:00,2026-05-30,2,114.72,75.81,114.72,146.5,98.45,16.27
2026-05-30 01:00:00,2026-05-30,3,106.18,66.09,106.18,139.12,98.45,7.72
2026-05-30 01:30:00,2026-05-30,4,109.48,70.45,109.48,141.38,98.45,11.03
2026-05-30 02:00:00,2026-05-30,5,99.32,60.85,99.32,130.64,98.45,0.87
2026-05-30 02:30:00,2026-05-30,6,92.53,52.91,92.53,125.0,98.45,-5.92
2026-05-30 03:00:00,2026-05-30,7,90.13,54.64,90.13,118.47,98.45,-8.32
2026-05-30 03:30:00,2026-05-30,8,98.17,58.24,98.17,130.97,98.45,-0.28
2026-05-30 04:00:00,2026-05-30,9,103.64,62.68,103.64,137.45,98.45,5.19
2026-05-30 04:30:00,2026-05-30,10,97.59,55.09,97.59,132.96,98.45,-0.86
2026-05-30 05:00:00,2026-05-30,11,87.57,45.12,87.57,122.87,98.45,-10.88
2026-05-30 05:30:00,2026-05-30,12,84.27,40.5,84.27,120.89,98.45,-14.19
2026-05-30 06:00:00,2026-05-30,13,97.6,55.19,97.6,132.86,98.45,-0.85
2026-05-30 06:30:00,2026-05-30,14,100.24,61.39,100.24,131.94,98.45,1.79
2026-05-30 07:00:00,2026-05-30,15,91.48,49.33,91.48,126.48,98.45,-6.97
2026-05-30 07:30:00,2026-05-30,16,92.32,51.95,92.32,125.54,98.45,-6.14
2026-05-30 08:00:00,2026-05-30,17,90.15,44.73,90.15,128.42,98.45,-8.3
2026-05-30 08:30:00,2026-05-30,18,91.63,48.89,91.63,127.22,98.45,-6.82
2026-05-30 09:00:00,2026-05-30,19,78.75,32.1,78.75,118.25,98.45,-19.71
2026-05-30 09:30:00,2026-05-30,20,81.61,35.36,81.61,120.71,98.45,-16.85
2026-05-30 10:00:00,2026-05-30,21,65.66,15.7,65.66,108.47,98.45,-32.8
2026-05-30 10:30:00,2026-05-30,22,70.49,16.97,70.49,116.86,98.45,-27.97
2026-05-30 11:00:00,2026-05-30,23,62.06,10.24,62.06,106.73,98.45,-36.39
2026-05-30 11:30:00,2026-05-30,24,62.16,15.77,62.16,101.4,98.45,-36.29
2026-05-30 12:00:00,2026-05-30,25,62.22,11.19,62.22,106.1,98.45,-36.23
2026-05-30 12:30:00,2026-05-30,26,57.39,2.38,57.39,105.25,98.45,-41.07
2026-05-30 13:00:00,2026-05-30,27,52.76,4.31,52.76,94.08,98.45,-45.69
2026-05-30 13:30:00,2026-05-30,28,54.6,7.25,54.6,94.82,98.45,-43.85
2026-05-30 14:00:00,2026-05-30,29,61.04,9.72,61.04,105.21,98.45,-37.42
2026-05-30 14:30:00,2026-05-30,30,51.92,-1.22,51.92,97.93,98.45,-46.53
2026-05-30 15:00:00,2026-05-30,31,47.27,-6.45,47.27,93.84,98.45,-51.19
2026-05-30 15:30:00,2026-05-30,32,49.7,-6.2,49.7,98.45,98.45,-48.75
2026-05-30 16:00:00,2026-05-30,33,87.0,26.03,87.0,140.82,98.45,-11.45
2026-05-30 16:30:00,2026-05-30,34,96.8,36.82,96.8,149.63,98.45,-1.66
2026-05-30 17:00:00,2026-05-30,35,109.88,61.34,109.88,151.27,98.45,11.43
2026-05-30 17:30:00,2026-05-30,36,106.62,53.93,106.62,152.16,98.45,8.17
2026-05-30 18:00:00,2026-05-30,37,116.92,63.28,116.92,163.41,98.45,18.47
2026-05-30 18:30:00,2026-05-30,38,133.92,89.73,133.92,170.96,98.45,35.47
2026-05-30 19:00:00,2026-05-30,39,134.95,90.19,134.95,172.56,98.45,36.5
2026-05-30 19:30:00,2026-05-30,40,134.58,92.47,134.58,169.54,98.45,36.12
2026-05-30 20:00:00,2026-05-30,41,139.24,91.56,139.24,179.77,98.45,40.79
2026-05-30 20:30:00,2026-05-30,42,139.92,98.01,139.92,174.68,98.45,41.47
2026-05-30 21:00:00,2026-05-30,43,122.41,80.18,122.41,157.49,98.45,23.96
2026-05-30 21:30:00,2026-05-30,44,125.58,85.59,125.58,158.42,98.45,27.12
2026-05-30 22:00:00,2026-05-30,45,103.84,63.11,103.84,137.42,98.45,5.39
2026-05-30 22:30:00,2026-05-30,46,103.48,61.88,103.48,137.93,98.45,5.02
2026-05-30 23:00:00,2026-05-30,47,107.55,59.61,107.55,148.34,98.45,9.1
2026-05-30 23:30:00,2026-05-30,48,105.86,66.69,105.86,137.9,98.45,7.41
