settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation,is_actual
2026-06-17 00:00:00,2026-06-17,1,94.4,76.98,94.4,99.11,106.64,-12.24,False
2026-06-17 00:30:00,2026-06-17,2,93.84,76.42,93.84,98.55,106.64,-12.8,False
2026-06-17 01:00:00,2026-06-17,3,88.38,70.95,88.38,93.09,106.64,-18.27,False
2026-06-17 01:30:00,2026-06-17,4,88.54,71.12,88.54,93.26,106.64,-18.1,False
2026-06-17 02:00:00,2026-06-17,5,85.42,68.0,85.42,90.14,106.64,-21.22,False
2026-06-17 02:30:00,2026-06-17,6,85.45,68.02,85.45,90.16,106.64,-21.2,False
2026-06-17 03:00:00,2026-06-17,7,85.26,67.84,85.26,89.97,106.64,-21.38,False
2026-06-17 03:30:00,2026-06-17,8,86.54,69.12,86.54,91.25,106.64,-20.1,False
2026-06-17 04:00:00,2026-06-17,9,88.75,71.33,88.75,93.46,106.64,-17.89,False
2026-06-17 04:30:00,2026-06-17,10,89.44,72.01,89.44,94.15,106.64,-17.21,False
2026-06-17 05:00:00,2026-06-17,11,96.15,78.73,96.15,100.86,106.64,-10.49,False
2026-06-17 05:30:00,2026-06-17,12,94.98,77.56,94.98,99.69,106.64,-11.66,False
2026-06-17 06:00:00,2026-06-17,13,120.96,103.54,120.96,125.67,106.64,14.32,False
2026-06-17 06:30:00,2026-06-17,14,121.98,104.56,121.98,126.69,106.64,15.34,False
2026-06-17 07:00:00,2026-06-17,15,125.18,107.76,125.18,129.89,106.64,18.54,False
2026-06-17 07:30:00,2026-06-17,16,128.29,110.86,128.29,133.0,106.64,21.65,False
2026-06-17 08:00:00,2026-06-17,17,124.7,107.28,124.7,129.42,106.64,18.06,False
2026-06-17 08:30:00,2026-06-17,18,126.18,108.76,126.18,130.89,106.64,19.54,False
2026-06-17 09:00:00,2026-06-17,19,110.69,93.27,110.69,115.4,106.64,4.05,False
2026-06-17 09:30:00,2026-06-17,20,105.48,88.05,105.48,110.19,106.64,-1.16,False
2026-06-17 10:00:00,2026-06-17,21,98.62,81.19,98.62,103.33,106.64,-8.02,False
2026-06-17 10:30:00,2026-06-17,22,95.64,78.21,95.64,100.35,106.64,-11.0,False
2026-06-17 11:00:00,2026-06-17,23,100.06,82.64,100.06,104.77,106.64,-6.58,False
2026-06-17 11:30:00,2026-06-17,24,103.21,85.79,103.21,107.93,106.64,-3.43,False
2026-06-17 12:00:00,2026-06-17,25,100.25,82.83,100.25,104.96,106.64,-6.39,False
2026-06-17 12:30:00,2026-06-17,26,96.79,79.36,96.79,101.5,106.64,-9.85,False
2026-06-17 13:00:00,2026-06-17,27,90.24,72.81,90.24,94.95,106.64,-16.41,False
2026-06-17 13:30:00,2026-06-17,28,94.41,76.98,94.41,99.12,106.64,-12.23,False
2026-06-17 14:00:00,2026-06-17,29,90.35,72.93,90.35,95.06,106.64,-16.29,False
2026-06-17 14:30:00,2026-06-17,30,94.28,76.85,94.28,98.99,106.64,-12.37,False
2026-06-17 15:00:00,2026-06-17,31,91.61,74.18,91.61,96.32,106.64,-15.04,False
2026-06-17 15:30:00,2026-06-17,32,95.86,78.44,95.86,100.57,106.64,-10.78,False
2026-06-17 16:00:00,2026-06-17,33,104.9,87.48,104.9,109.61,106.64,-1.74,False
2026-06-17 16:30:00,2026-06-17,34,100.87,83.45,100.87,105.59,106.64,-5.77,False
2026-06-17 17:00:00,2026-06-17,35,113.19,95.77,113.19,117.9,106.64,6.55,False
2026-06-17 17:30:00,2026-06-17,36,117.38,99.96,117.38,122.09,106.64,10.74,False
2026-06-17 18:00:00,2026-06-17,37,113.67,96.24,113.67,118.38,106.64,7.03,False
2026-06-17 18:30:00,2026-06-17,38,115.29,97.86,115.29,120.0,106.64,8.65,False
2026-06-17 19:00:00,2026-06-17,39,136.03,118.61,136.03,140.74,106.64,29.39,False
2026-06-17 19:30:00,2026-06-17,40,135.51,118.08,135.51,140.22,106.64,28.86,False
2026-06-17 20:00:00,2026-06-17,41,130.52,113.09,130.52,135.23,106.64,23.88,False
2026-06-17 20:30:00,2026-06-17,42,130.09,112.66,130.09,134.8,106.64,23.44,False
2026-06-17 21:00:00,2026-06-17,43,124.78,107.35,124.78,129.49,106.64,18.14,False
2026-06-17 21:30:00,2026-06-17,44,122.85,105.43,122.85,127.56,106.64,16.21,False
2026-06-17 22:00:00,2026-06-17,45,106.28,88.86,106.28,110.99,106.64,-0.36,False
2026-06-17 22:30:00,2026-06-17,46,104.31,86.88,104.31,109.02,106.64,-2.34,False
2026-06-17 23:00:00,2026-06-17,47,103.04,85.61,103.04,107.75,106.64,-3.6,False
2026-06-17 23:30:00,2026-06-17,48,101.85,84.42,101.85,106.56,106.64,-4.8,False
