settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-06-22 00:00:00,2026-06-22,1,94.45,61.38,94.45,121.92,101.44,-7.0
2026-06-22 00:30:00,2026-06-22,2,94.99,58.18,94.99,126.2,101.44,-6.46
2026-06-22 01:00:00,2026-06-22,3,90.74,52.76,90.74,123.13,101.44,-10.7
2026-06-22 01:30:00,2026-06-22,4,91.35,54.42,91.35,122.69,101.44,-10.09
2026-06-22 02:00:00,2026-06-22,5,87.88,51.52,87.88,118.64,101.44,-13.57
2026-06-22 02:30:00,2026-06-22,6,88.74,51.23,88.74,120.65,101.44,-12.71
2026-06-22 03:00:00,2026-06-22,7,84.57,51.19,84.57,112.36,101.44,-16.87
2026-06-22 03:30:00,2026-06-22,8,81.64,43.81,81.64,113.87,101.44,-19.81
2026-06-22 04:00:00,2026-06-22,9,81.65,42.8,81.65,114.91,101.44,-19.79
2026-06-22 04:30:00,2026-06-22,10,83.08,42.68,83.08,117.89,101.44,-18.36
2026-06-22 05:00:00,2026-06-22,11,89.54,49.2,89.54,124.29,101.44,-11.9
2026-06-22 05:30:00,2026-06-22,12,82.07,40.41,82.07,118.14,101.44,-19.37
2026-06-22 06:00:00,2026-06-22,13,114.5,74.2,114.5,149.2,101.44,13.06
2026-06-22 06:30:00,2026-06-22,14,114.35,77.61,114.35,145.5,101.44,12.91
2026-06-22 07:00:00,2026-06-22,15,121.77,81.73,121.77,156.22,101.44,20.33
2026-06-22 07:30:00,2026-06-22,16,122.29,84.03,122.29,154.95,101.44,20.84
2026-06-22 08:00:00,2026-06-22,17,111.92,68.61,111.92,149.63,101.44,10.48
2026-06-22 08:30:00,2026-06-22,18,114.75,74.12,114.75,149.79,101.44,13.31
2026-06-22 09:00:00,2026-06-22,19,95.01,50.47,95.01,133.96,101.44,-6.43
2026-06-22 09:30:00,2026-06-22,20,93.0,48.86,93.0,131.55,101.44,-8.44
2026-06-22 10:00:00,2026-06-22,21,72.46,24.61,72.46,114.71,101.44,-28.99
2026-06-22 10:30:00,2026-06-22,22,83.84,32.43,83.84,129.65,101.44,-17.61
2026-06-22 11:00:00,2026-06-22,23,76.15,26.44,76.15,120.26,101.44,-25.3
2026-06-22 11:30:00,2026-06-22,24,76.17,31.89,76.17,114.85,101.44,-25.28
2026-06-22 12:00:00,2026-06-22,25,82.87,33.95,82.87,126.2,101.44,-18.57
2026-06-22 12:30:00,2026-06-22,26,81.24,28.34,81.24,128.54,101.44,-20.21
2026-06-22 13:00:00,2026-06-22,27,76.26,29.91,76.26,117.02,101.44,-25.18
2026-06-22 13:30:00,2026-06-22,28,75.3,30.05,75.3,114.95,101.44,-26.15
2026-06-22 14:00:00,2026-06-22,29,79.23,30.02,79.23,122.85,101.44,-22.21
2026-06-22 14:30:00,2026-06-22,30,79.95,28.91,79.95,125.4,101.44,-21.49
2026-06-22 15:00:00,2026-06-22,31,74.84,23.23,74.84,120.86,101.44,-26.6
2026-06-22 15:30:00,2026-06-22,32,75.26,21.47,75.26,123.46,101.44,-26.18
2026-06-22 16:00:00,2026-06-22,33,95.87,37.01,95.87,149.14,101.44,-5.57
2026-06-22 16:30:00,2026-06-22,34,94.43,36.56,94.43,146.7,101.44,-7.02
2026-06-22 17:00:00,2026-06-22,35,108.03,61.59,108.03,148.86,101.44,6.58
2026-06-22 17:30:00,2026-06-22,36,106.1,55.52,106.1,151.08,101.44,4.65
2026-06-22 18:00:00,2026-06-22,37,101.25,49.72,101.25,147.18,101.44,-0.2
2026-06-22 18:30:00,2026-06-22,38,97.12,55.04,97.12,133.61,101.44,-4.32
2026-06-22 19:00:00,2026-06-22,39,117.84,75.19,117.84,154.89,101.44,16.39
2026-06-22 19:30:00,2026-06-22,40,117.94,77.94,117.94,152.35,101.44,16.5
2026-06-22 20:00:00,2026-06-22,41,118.18,72.61,118.18,158.15,101.44,16.73
2026-06-22 20:30:00,2026-06-22,42,118.02,78.22,118.02,152.23,101.44,16.58
2026-06-22 21:00:00,2026-06-22,43,112.43,72.31,112.43,146.96,101.44,10.99
2026-06-22 21:30:00,2026-06-22,44,111.86,73.98,111.86,144.14,101.44,10.41
2026-06-22 22:00:00,2026-06-22,45,92.86,54.24,92.86,125.88,101.44,-8.59
2026-06-22 22:30:00,2026-06-22,46,96.85,57.36,96.85,130.75,101.44,-4.59
2026-06-22 23:00:00,2026-06-22,47,103.65,57.82,103.65,143.88,101.44,2.2
2026-06-22 23:30:00,2026-06-22,48,103.01,65.94,103.01,134.49,101.44,1.57
