settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation,is_actual
2026-07-11 00:00:00,2026-07-11,1,108.37,78.64,108.37,134.13,105.67,2.7,False
2026-07-11 00:30:00,2026-07-11,2,96.96,63.49,96.96,126.46,105.67,-8.71,False
2026-07-11 01:00:00,2026-07-11,3,99.44,64.8,99.44,130.11,105.67,-6.23,False
2026-07-11 01:30:00,2026-07-11,4,101.01,67.42,101.01,130.63,105.67,-4.66,False
2026-07-11 02:00:00,2026-07-11,5,104.17,71.14,104.17,133.22,105.67,-1.5,False
2026-07-11 02:30:00,2026-07-11,6,102.57,68.4,102.57,132.77,105.67,-3.1,False
2026-07-11 03:00:00,2026-07-11,7,104.12,74.08,104.12,130.19,105.67,-1.55,False
2026-07-11 03:30:00,2026-07-11,8,99.54,65.05,99.54,130.06,105.67,-6.13,False
2026-07-11 04:00:00,2026-07-11,9,92.23,56.71,92.23,123.77,105.67,-13.44,False
2026-07-11 04:30:00,2026-07-11,10,100.45,63.39,100.45,133.54,105.67,-5.22,False
2026-07-11 05:00:00,2026-07-11,11,85.13,48.12,85.13,118.16,105.67,-20.54,False
2026-07-11 05:30:00,2026-07-11,12,86.84,48.51,86.84,121.19,105.67,-18.84,False
2026-07-11 06:00:00,2026-07-11,13,94.04,57.07,94.04,127.03,105.67,-11.64,False
2026-07-11 06:30:00,2026-07-11,14,111.4,78.0,111.4,140.83,105.67,5.73,False
2026-07-11 07:00:00,2026-07-11,15,102.57,65.86,102.57,135.3,105.67,-3.1,False
2026-07-11 07:30:00,2026-07-11,16,100.88,65.95,100.88,131.83,105.67,-4.79,False
2026-07-11 08:00:00,2026-07-11,17,112.45,72.48,112.45,148.45,105.67,6.78,False
2026-07-11 08:30:00,2026-07-11,18,114.35,77.06,114.35,147.68,105.67,8.68,False
2026-07-11 09:00:00,2026-07-11,19,97.65,56.44,97.65,134.88,105.67,-8.02,False
2026-07-11 09:30:00,2026-07-11,20,99.97,59.17,99.97,136.8,105.67,-5.7,False
2026-07-11 10:00:00,2026-07-11,21,104.51,59.99,104.51,145.05,105.67,-1.16,False
2026-07-11 10:30:00,2026-07-11,22,103.77,55.7,103.77,147.87,105.67,-1.9,False
2026-07-11 11:00:00,2026-07-11,23,130.33,83.95,130.33,172.73,105.67,24.66,False
2026-07-11 11:30:00,2026-07-11,24,132.1,91.16,132.1,169.07,105.67,26.43,False
2026-07-11 12:00:00,2026-07-11,25,101.53,55.95,101.53,143.14,105.67,-4.14,False
2026-07-11 12:30:00,2026-07-11,26,109.82,60.26,109.82,155.41,105.67,4.15,False
2026-07-11 13:00:00,2026-07-11,27,113.38,70.37,113.38,152.42,105.67,7.71,False
2026-07-11 13:30:00,2026-07-11,28,110.48,68.57,110.48,148.42,105.67,4.81,False
2026-07-11 14:00:00,2026-07-11,29,101.93,56.06,101.93,143.83,105.67,-3.74,False
2026-07-11 14:30:00,2026-07-11,30,97.39,49.68,97.39,141.12,105.67,-8.28,False
2026-07-11 15:00:00,2026-07-11,31,111.22,62.94,111.22,155.52,105.67,5.55,False
2026-07-11 15:30:00,2026-07-11,32,100.17,49.72,100.17,146.65,105.67,-5.5,False
2026-07-11 16:00:00,2026-07-11,33,103.76,48.24,103.76,155.31,105.67,-1.91,False
2026-07-11 16:30:00,2026-07-11,34,105.39,50.86,105.39,155.95,105.67,-0.28,False
2026-07-11 17:00:00,2026-07-11,35,106.55,63.46,106.55,145.67,105.67,0.88,False
2026-07-11 17:30:00,2026-07-11,36,115.78,68.54,115.78,159.05,105.67,10.11,False
2026-07-11 18:00:00,2026-07-11,37,123.44,75.25,123.44,167.66,105.67,17.77,False
2026-07-11 18:30:00,2026-07-11,38,126.3,87.56,126.3,161.07,105.67,20.63,False
2026-07-11 19:00:00,2026-07-11,39,144.85,105.54,144.85,180.19,105.67,39.18,False
2026-07-11 19:30:00,2026-07-11,40,149.27,112.61,149.27,181.96,105.67,43.6,False
2026-07-11 20:00:00,2026-07-11,41,145.28,103.05,145.28,183.54,105.67,39.61,False
2026-07-11 20:30:00,2026-07-11,42,136.63,100.16,136.63,169.12,105.67,30.96,False
2026-07-11 21:00:00,2026-07-11,43,132.41,95.63,132.41,165.22,105.67,26.74,False
2026-07-11 21:30:00,2026-07-11,44,128.68,94.13,128.68,159.25,105.67,23.01,False
2026-07-11 22:00:00,2026-07-11,45,121.86,86.58,121.86,153.17,105.67,16.19,False
2026-07-11 22:30:00,2026-07-11,46,114.59,78.44,114.59,146.77,105.67,8.92,False
2026-07-11 23:00:00,2026-07-11,47,112.37,69.88,112.37,150.89,105.67,6.7,False
2026-07-11 23:30:00,2026-07-11,48,112.54,78.8,112.54,142.3,105.67,6.87,False
