feature,importance_mean,importance_std
ssp_lag_1,22.05200432371685,2.4228384968788164
net_imbalance_volume_lag_1,1.3524520315296045,0.2946542583656141
ssp_lag_2,0.2769561861187295,0.1007067852331167
cos_sp,0.20428259763163262,0.1311884315532545
ssp_roll_mean_48,0.192995860674991,0.08311174745197288
ssp_lag_48,0.18582479470871682,0.08956082753207512
ssp_roll_mean_6,0.18170750043163367,0.0417449506770637
sin_sp,0.1561469688744978,0.12246584719200557
solar_wm2_lag_1,0.12119670570950695,0.04598755541162438
ssp_roll_max_6,0.06627261250060919,0.045160754945005384
wind_ms_roll_mean_48,0.058583348135782386,0.02371453291866399
solar_wm2_lag_48,0.037434365978253226,0.009775916991227067
ssp_lag_336,0.036068492998384015,0.03072712569485919
ssp_roll_std_48,0.03350767455176538,0.007832694694581298
day_of_week,0.02822285616304221,0.015553119230265354
solar_wm2_lag_336,0.024515198606391665,0.0132729855632382
net_imbalance_volume_roll_mean_6,0.024279073766008352,0.021795628545395275
wind_ms_lag_1,0.0207989986188462,0.006869340003204842
is_business_day,0.018306362341999005,0.009334478230647564
is_evening_ramp,0.01795073634532294,0.008828975589354334
wind_ms_roll_mean_6,0.017777987203314184,0.004593656956512289
cos_hour,0.015633579145572795,0.0175266865349292
solar_wm2_roll_mean_6,0.012770212431242812,0.005543707961999294
wind_ms_roll_std_48,0.011317970624103424,0.005061550336567559
ssp_diff_1_48,0.01010869946320021,0.005792656627558146
hour,0.0044672713981182,0.03307735179463096
is_peak,0.0042394206694215345,0.0019933633542675113
ssp_roll_max_48,0.002758227725133011,0.004403413439559417
temp_c_lag_1,0.0017959037371031883,0.0015433088234189207
net_imbalance_volume_roll_max_48,0.0016747285984592963,0.0008373642992296482
heating_degree,0.0014279073732332392,0.0029426837807288117
abs_niv_roll_mean_6,0.0008226814302137342,0.0026445006103202663
net_imbalance_volume_roll_mean_48,0.000712703616060395,0.00038334686339332505
neg_count_roll_48,0.00029517354792290006,0.0010003381937126702
solar_wm2_roll_std_6,0.0002806112827137497,0.0068093012460712496
wind_ms_roll_std_6,0.0,0.0
spike_count_roll_48,0.0,0.0
is_negative_lag_48,0.0,0.0
is_negative_lag_336,0.0,0.0
month,0.0,0.0
abs_niv_roll_mean_48,0.0,0.0
cooling_degree,0.0,0.0
temp_c_lag_336,0.0,0.0
temp_c_lag_48,0.0,0.0
week_of_year,0.0,0.0
is_spike_lag_336,0.0,0.0
wind_ms_lag_48,0.0,0.0
solar_wm2_roll_std_48,0.0,0.0
day_of_year,0.0,0.0
quarter,0.0,0.0
precip_mm_lag_1,0.0,0.0
precip_mm_lag_48,0.0,0.0
precip_mm_lag_336,0.0,0.0
temp_c_roll_mean_6,0.0,0.0
temp_c_roll_std_48,0.0,0.0
sin_dow,0.0,0.0
is_uk_holiday,0.0,0.0
is_spike_lag_48,0.0,0.0
ssp_roll_min_336,0.0,0.0
solar_wm2_roll_mean_48,0.0,0.0
is_weekend,0.0,0.0
cos_half_annual,0.0,0.0
net_imbalance_volume_lag_48,0.0,0.0
sin_half_annual,0.0,0.0
cos_annual,0.0,0.0
sin_annual,0.0,0.0
cos_month,0.0,0.0
ssp_raw_lag_96,0.0,0.0
ssp_raw_lag_336,0.0,0.0
net_imbalance_volume_roll_std_48,0.0,0.0
ssp_roll_max_336,0.0,0.0
sin_month,0.0,0.0
net_imbalance_volume_roll_std_6,0.0,0.0
cos_dow,0.0,0.0
ssp_raw_lag_48,0.0,0.0
ssp_diff_48_336,0.0,0.0
net_imbalance_volume_roll_min_48,0.0,0.0
wind_ms_lag_336,-0.00021007910602754976,0.00042015821205509957
ssp_roll_std_336,-0.0003865652690034693,0.0005904882020831215
temp_c_roll_mean_48,-0.00107231060160089,0.0007878425471158605
net_imbalance_volume_lag_336,-0.0017684468546562472,0.0028240355758327416
temp_c_roll_std_6,-0.0028348495886476146,0.007662784559674382
net_imbalance_volume_roll_max_6,-0.0035744513218496365,0.014492047157966897
ssp_roll_std_6,-0.004584116476930333,0.02259724693808476
ssp_roll_min_6,-0.005675958050656504,0.025886839025288
ssp_roll_min_48,-0.005834760751647039,0.007329121358734627
net_imbalance_volume_roll_min_6,-0.006276263924445758,0.00255431704394476
wind_ramp_6,-0.009696490306127358,0.007837280425580472
ssp_roll_mean_336,-0.015079206798998258,0.010192938642085245
ssp_lag_96,-0.018774459210387208,0.007612906979211401
sin_hour,-0.059299440771726705,0.04728781595035915
