settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation,is_actual
2026-09-11 00:00:00,2026-09-11,1,208.0,208.0,208.0,208.0,127.56,-1.59,True
2026-09-11 00:30:00,2026-09-11,2,133.4,133.4,133.4,133.4,127.56,1.87,True
2026-09-11 01:00:00,2026-09-11,3,134.29,134.29,134.29,134.29,127.56,-3.96,True
2026-09-11 01:30:00,2026-09-11,4,138.18,138.18,138.18,138.18,127.56,-2.63,True
2026-09-11 02:00:00,2026-09-11,5,175.0,175.0,175.0,175.0,127.56,-3.09,True
2026-09-11 02:30:00,2026-09-11,6,143.67,143.67,143.67,143.67,127.56,-4.17,True
2026-09-11 03:00:00,2026-09-11,7,142.17,142.17,142.17,142.17,127.56,-7.11,True
2026-09-11 03:30:00,2026-09-11,8,145.42,145.42,145.42,145.42,127.56,-4.02,True
2026-09-11 04:00:00,2026-09-11,9,145.85,145.85,145.85,145.85,127.56,-4.44,True
2026-09-11 04:30:00,2026-09-11,10,142.15,142.15,142.15,142.15,127.56,-2.37,True
2026-09-11 05:00:00,2026-09-11,11,152.15,152.15,152.15,152.15,127.56,-4.58,True
2026-09-11 05:30:00,2026-09-11,12,165.94,165.94,165.94,165.94,127.56,-7.21,True
2026-09-11 06:00:00,2026-09-11,13,171.27,171.27,171.27,171.27,127.56,21.32,True
2026-09-11 06:30:00,2026-09-11,14,187.53,26.69,187.53,336.67,127.56,23.93,False
2026-09-11 07:00:00,2026-09-11,15,190.25,29.68,190.25,339.14,127.56,27.89,False
2026-09-11 07:30:00,2026-09-11,16,187.67,32.31,187.67,331.33,127.56,26.49,False
2026-09-11 08:00:00,2026-09-11,17,186.43,29.38,186.43,331.83,127.56,26.39,False
2026-09-11 08:30:00,2026-09-11,18,185.34,34.17,185.34,324.85,127.56,26.42,False
2026-09-11 09:00:00,2026-09-11,19,166.13,14.15,166.13,306.45,127.56,8.27,False
2026-09-11 09:30:00,2026-09-11,20,169.06,20.5,169.06,305.98,127.56,12.23,False
2026-09-11 10:00:00,2026-09-11,21,167.72,18.33,167.72,305.46,127.56,11.89,False
2026-09-11 10:30:00,2026-09-11,22,163.56,13.4,163.56,302.06,127.56,8.69,False
2026-09-11 11:00:00,2026-09-11,23,153.55,7.77,153.55,287.61,127.56,-0.42,False
2026-09-11 11:30:00,2026-09-11,24,160.5,22.79,160.5,286.56,127.56,7.46,False
2026-09-11 12:00:00,2026-09-11,25,160.28,20.43,160.28,288.42,127.56,8.08,False
2026-09-11 12:30:00,2026-09-11,26,158.06,16.67,158.06,287.79,127.56,6.71,False
2026-09-11 13:00:00,2026-09-11,27,155.96,23.49,155.96,276.79,127.56,5.43,False
2026-09-11 13:30:00,2026-09-11,28,155.87,26.77,155.87,273.27,127.56,6.1,False
2026-09-11 14:00:00,2026-09-11,29,151.07,20.22,151.07,270.29,127.56,2.07,False
2026-09-11 14:30:00,2026-09-11,30,154.02,23.44,154.02,272.92,127.56,5.73,False
2026-09-11 15:00:00,2026-09-11,31,152.48,23.34,152.48,269.88,127.56,4.87,False
2026-09-11 15:30:00,2026-09-11,32,150.43,21.11,150.43,268.06,127.56,3.54,False
2026-09-11 16:00:00,2026-09-11,33,161.04,28.58,161.04,281.81,127.56,14.8,False
2026-09-11 16:30:00,2026-09-11,34,153.22,23.61,153.22,271.18,127.56,7.63,False
2026-09-11 17:00:00,2026-09-11,35,171.69,55.28,171.69,276.38,127.56,26.69,False
2026-09-11 17:30:00,2026-09-11,36,169.27,50.42,169.27,276.41,127.56,24.87,False
2026-09-11 18:00:00,2026-09-11,37,152.75,34.64,152.75,259.19,127.56,8.93,False
2026-09-11 18:30:00,2026-09-11,38,151.71,44.67,151.71,247.09,127.56,8.45,False
2026-09-11 19:00:00,2026-09-11,39,162.63,56.53,162.63,257.03,127.56,19.88,False
2026-09-11 19:30:00,2026-09-11,40,160.05,58.13,160.05,250.29,127.56,17.84,False
2026-09-11 20:00:00,2026-09-11,41,143.34,37.28,143.34,237.7,127.56,1.61,False
2026-09-11 20:30:00,2026-09-11,42,144.0,45.12,144.0,231.2,127.56,2.77,False
2026-09-11 21:00:00,2026-09-11,43,137.61,39.78,137.61,223.79,127.56,-3.17,False
2026-09-11 21:30:00,2026-09-11,44,139.76,45.48,139.76,222.37,127.56,-0.56,False
2026-09-11 22:00:00,2026-09-11,45,129.78,36.02,129.78,211.88,127.56,-10.1,False
2026-09-11 22:30:00,2026-09-11,46,128.79,35.38,128.79,210.54,127.56,-10.67,False
2026-09-11 23:00:00,2026-09-11,47,123.39,24.79,123.39,210.27,127.56,-15.69,False
2026-09-11 23:30:00,2026-09-11,48,126.2,37.53,126.2,203.21,127.56,-12.47,False
