settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation,is_actual
2026-06-23 00:00:00,2026-06-23,1,96.77,70.11,96.77,127.73,100.06,-3.29,False
2026-06-23 00:30:00,2026-06-23,2,98.27,67.87,98.27,132.97,100.06,-1.79,False
2026-06-23 01:00:00,2026-06-23,3,95.84,64.27,95.84,131.71,100.06,-4.23,False
2026-06-23 01:30:00,2026-06-23,4,103.88,73.36,103.88,138.7,100.06,3.82,False
2026-06-23 02:00:00,2026-06-23,5,98.92,68.97,98.92,133.17,100.06,-1.14,False
2026-06-23 02:30:00,2026-06-23,6,102.39,71.29,102.39,137.79,100.06,2.33,False
2026-06-23 03:00:00,2026-06-23,7,102.91,75.94,102.91,134.18,100.06,2.85,False
2026-06-23 03:30:00,2026-06-23,8,103.17,71.75,103.17,138.89,100.06,3.1,False
2026-06-23 04:00:00,2026-06-23,9,104.21,71.77,104.21,140.95,100.06,4.14,False
2026-06-23 04:30:00,2026-06-23,10,103.1,69.12,103.1,141.4,100.06,3.04,False
2026-06-23 05:00:00,2026-06-23,11,104.93,71.0,104.93,143.16,100.06,4.87,False
2026-06-23 05:30:00,2026-06-23,12,111.02,75.77,111.02,150.57,100.06,10.95,False
2026-06-23 06:00:00,2026-06-23,13,120.68,86.79,120.68,158.87,100.06,20.61,False
2026-06-23 06:30:00,2026-06-23,14,120.62,90.29,120.62,155.25,100.06,20.56,False
2026-06-23 07:00:00,2026-06-23,15,123.35,89.73,123.35,161.28,100.06,23.29,False
2026-06-23 07:30:00,2026-06-23,16,120.05,88.2,120.05,156.2,100.06,19.98,False
2026-06-23 08:00:00,2026-06-23,17,109.25,72.35,109.25,150.45,100.06,9.18,False
2026-06-23 08:30:00,2026-06-23,18,111.09,76.87,111.09,149.61,100.06,11.03,False
2026-06-23 09:00:00,2026-06-23,19,86.69,48.56,86.69,129.12,100.06,-13.37,False
2026-06-23 09:30:00,2026-06-23,20,84.12,46.4,84.12,126.15,100.06,-15.94,False
2026-06-23 10:00:00,2026-06-23,21,90.82,49.38,90.82,136.56,100.06,-9.25,False
2026-06-23 10:30:00,2026-06-23,22,91.39,46.39,91.39,140.69,100.06,-8.67,False
2026-06-23 11:00:00,2026-06-23,23,90.1,46.8,90.1,137.7,100.06,-9.97,False
2026-06-23 11:30:00,2026-06-23,24,93.9,56.03,93.9,136.07,100.06,-6.17,False
2026-06-23 12:00:00,2026-06-23,25,92.62,50.11,92.62,139.43,100.06,-7.44,False
2026-06-23 12:30:00,2026-06-23,26,92.13,45.64,92.13,142.92,100.06,-7.93,False
2026-06-23 13:00:00,2026-06-23,27,89.66,49.72,89.66,133.9,100.06,-10.4,False
2026-06-23 13:30:00,2026-06-23,28,92.45,53.61,92.45,135.59,100.06,-7.61,False
2026-06-23 14:00:00,2026-06-23,29,79.29,36.5,79.29,126.39,100.06,-20.77,False
2026-06-23 14:30:00,2026-06-23,30,82.85,38.22,82.85,131.78,100.06,-17.21,False
2026-06-23 15:00:00,2026-06-23,31,84.07,38.87,84.07,133.57,100.06,-15.99,False
2026-06-23 15:30:00,2026-06-23,32,87.88,40.5,87.88,139.56,100.06,-12.18,False
2026-06-23 16:00:00,2026-06-23,33,90.55,38.1,90.55,147.3,100.06,-9.51,False
2026-06-23 16:30:00,2026-06-23,34,91.71,40.25,91.71,147.47,100.06,-8.36,False
2026-06-23 17:00:00,2026-06-23,35,124.9,84.88,124.9,169.22,100.06,24.83,False
2026-06-23 17:30:00,2026-06-23,36,126.15,81.99,126.15,174.62,100.06,26.09,False
2026-06-23 18:00:00,2026-06-23,37,107.12,62.0,107.12,156.54,100.06,7.05,False
2026-06-23 18:30:00,2026-06-23,38,102.51,66.84,102.51,142.48,100.06,2.44,False
2026-06-23 19:00:00,2026-06-23,39,119.31,83.07,119.31,159.85,100.06,19.25,False
2026-06-23 19:30:00,2026-06-23,40,120.87,87.29,120.87,158.76,100.06,20.81,False
2026-06-23 20:00:00,2026-06-23,41,119.38,80.22,119.38,162.84,100.06,19.32,False
2026-06-23 20:30:00,2026-06-23,42,121.58,88.19,121.58,159.27,100.06,21.51,False
2026-06-23 21:00:00,2026-06-23,43,120.6,86.9,120.6,158.61,100.06,20.54,False
2026-06-23 21:30:00,2026-06-23,44,119.2,87.74,119.2,154.98,100.06,19.14,False
2026-06-23 22:00:00,2026-06-23,45,101.7,69.5,101.7,138.22,100.06,1.64,False
2026-06-23 22:30:00,2026-06-23,46,102.94,69.86,102.94,140.32,100.06,2.88,False
2026-06-23 23:00:00,2026-06-23,47,96.51,57.09,96.51,140.23,100.06,-3.55,False
2026-06-23 23:30:00,2026-06-23,48,107.81,77.15,107.81,142.77,100.06,7.75,False
