feature,importance_mean,importance_std
cpi_index,,0.0
cpi_yoy,0.2520504151250418,0.0
temp_c_daily_mean,0.1323529411764706,0.0
temp_c_daily_max,0.12352941176470587,0.0
wind_ms_daily_mean,0.02058823529411765,0.0
wind_ms_daily_max,0.0588235294117647,0.0
solar_wm2_daily_mean,0.19117647058823528,0.0
solar_wm2_daily_max,0.26176470588235295,0.0
precip_mm_daily_mean,0.19867555047552532,0.0
precip_mm_daily_max,0.31346586852805103,0.0
day_of_week,0.36675798663452186,0.0
month,0.2520504151250418,0.0
day_of_year,0.06470588235294117,0.0
quarter,,0.0
is_weekend,0.2486326242032244,0.0
is_business_day,0.2486326242032244,0.0
sin_dow,0.09354555934402785,0.0
cos_dow,0.1291819629036575,0.0
sin_month,0.2520504151250418,0.0
cos_month,0.2520504151250418,0.0
sin_annual,0.06470588235294117,0.0
cos_annual,0.06470588235294117,0.0
sin_half_annual,0.06470588235294117,0.0
cos_half_annual,0.06470588235294117,0.0
ssp_daily_mean_lag1d,0.06470588235294117,0.0
ssp_raw_daily_max_lag1d,0.6058823529411764,0.0
ssp_raw_daily_min_lag1d,0.023529411764705882,0.0
ssp_daily_mean_lag2d,0.34705882352941175,0.0
ssp_raw_daily_max_lag2d,0.40294117647058825,0.0
ssp_raw_daily_min_lag2d,0.3323529411764706,0.0
ssp_daily_mean_lag7d,0.13529411764705881,0.0
ssp_raw_daily_max_lag7d,0.3693893568100508,0.0
ssp_raw_daily_min_lag7d,0.07941176470588236,0.0
ssp_daily_mean_lag14d,0.40294117647058825,0.0
ssp_raw_daily_max_lag14d,0.5342164801675237,0.0
ssp_raw_daily_min_lag14d,0.3411764705882353,0.0
ssp_daily_mean_lag28d,0.3058823529411765,0.0
ssp_raw_daily_max_lag28d,0.07988305528088172,0.0
ssp_raw_daily_min_lag28d,0.5235294117647059,0.0
ssp_daily_roll_mean_7d,0.22352941176470587,0.0
ssp_daily_roll_std_7d,0.3235294117647059,0.0
ssp_daily_roll_max_7d,0.3530864771296474,0.0
ssp_daily_roll_min_7d,0.24895062955007413,0.0
ssp_raw_max_roll_mean_7d,0.2441176470588235,0.0
ssp_daily_roll_mean_14d,0.3911764705882353,0.0
ssp_daily_roll_std_14d,0.044117647058823525,0.0
ssp_daily_roll_max_14d,0.2520504151250418,0.0
ssp_daily_roll_min_14d,0.17256712249065836,0.0
ssp_raw_max_roll_mean_14d,0.06470588235294117,0.0
ssp_daily_roll_mean_28d,0.17058823529411765,0.0
ssp_daily_roll_std_28d,0.25,0.0
ssp_daily_roll_max_28d,0.2520504151250418,0.0
ssp_daily_roll_min_28d,0.03131121455425748,0.0
ssp_raw_max_roll_mean_28d,0.27058823529411763,0.0
niv_daily_mean_lag1d,0.30882352941176466,0.0
niv_daily_mean_lag7d,0.08529411764705883,0.0
niv_daily_roll_mean_7d,0.08529411764705883,0.0
niv_daily_roll_std_7d,0.17352941176470588,0.0
niv_daily_roll_mean_14d,0.07058823529411765,0.0
niv_daily_roll_std_14d,0.2764705882352941,0.0
spike_count_lag1d,,0.0
spike_count_lag7d,,0.0
spike_count_roll_7d,,0.0
temp_c_daily_mean_lag1d,0.15882352941176472,0.0
temp_c_daily_mean_lag7d,0.3058823529411765,0.0
temp_c_daily_max_lag1d,0.13529411764705881,0.0
wind_ms_daily_mean_lag1d,0.19999999999999998,0.0
wind_ms_daily_mean_lag7d,0.10294117647058824,0.0
wind_ms_daily_max_lag1d,0.3382352941176471,0.0
solar_wm2_daily_mean_lag1d,0.13823529411764704,0.0
solar_wm2_daily_mean_lag7d,0.047058823529411764,0.0
solar_wm2_daily_max_lag1d,0.15294117647058825,0.0
precip_mm_daily_mean_lag1d,0.06328184200331548,0.0
precip_mm_daily_mean_lag7d,0.04856513456068397,0.0
precip_mm_daily_max_lag1d,0.2722590876886829,0.0
wind_pct_daily_mean_lag1d,0.15,0.0
wind_pct_daily_mean_lag7d,0.2058823529411765,0.0
wind_pct_daily_roll_mean_7d,0.09705882352941177,0.0
gas_pct_daily_mean_lag1d,0.15,0.0
gas_pct_daily_mean_lag7d,0.08529411764705883,0.0
gas_pct_daily_roll_mean_7d,0.18529411764705883,0.0
