feature,importance_mean,importance_std
hour,0.03299504992979683,0.011422532779888032
day_of_week,0.010253465865353495,0.0012678165725177027
month,0.0,0.0
week_of_year,0.0,0.0
quarter,0.0,0.0
day_of_year,4.594412628700084e-06,9.037851274717284e-06
sin_sp,0.03387002215590786,0.005349536367455233
cos_sp,0.006905046086639599,0.0043524874496596675
sin_hour,0.044143430740339794,0.016136880119372282
cos_hour,0.0022957072428521075,0.0005575638404923921
sin_dow,-0.0006194982252820224,0.0005801918484242218
cos_dow,0.0007986168544407368,0.0019272986052457333
sin_month,0.0,0.0
cos_month,0.0,0.0
sin_annual,0.0,0.0
cos_annual,-3.3209495107722195e-05,0.00013441222668427998
sin_half_annual,0.0006417245833031382,0.0003533274447166651
cos_half_annual,0.002113624887909471,0.0002819305068576047
is_weekend,0.0,0.0
is_peak,0.0001978869964794461,0.00011783390606091355
is_evening_ramp,0.0,0.0
is_uk_holiday,0.0,0.0
is_business_day,0.0042507584507725845,0.004665361633449759
ssp_lag_48,0.0052839824983372365,0.0015280453280108353
ssp_lag_96,0.006320807240169257,0.0019347754671933096
ssp_lag_336,0.011242452402794933,0.002624019703603325
net_imbalance_volume_lag_48,0.013861802120695165,0.0021128962734543824
net_imbalance_volume_lag_336,0.0061874853677488465,0.0031547904672135116
ssp_diff_48_336,0.005887113096157437,0.0016112055942074765
ssp_raw_lag_48,0.0,0.0
ssp_raw_lag_96,0.0,0.0
ssp_raw_lag_336,0.0,0.0
is_spike_lag_48,-6.218282381320606e-06,1.0193324822194089e-05
is_spike_lag_336,0.0,0.0
is_negative_lag_48,0.0,0.0
is_negative_lag_336,0.0,0.0
ssp_ramp_48,0.0043368896731083685,0.0014932310586440018
ssp_ramp_336,0.007920027098637017,0.0018106770084671524
ssp_raw_ramp_48,0.0030863107190584717,0.0017170890739134693
niv_ramp_48,0.004621233881369413,0.00022828197814007782
same_sp_mean_7d,0.019619713465527287,0.0051208628960521165
same_sp_std_7d,0.005660759421853801,0.001291826796785056
same_sp_range_7d,0.011295127215460044,0.002365344335148704
ssp_sp_deviation,0.00598484422921981,0.0028298959546868663
ssp_sp_trend_7d,0.0,0.0
niv_same_sp_std_7d,0.009553970754066254,0.003426544130845819
niv_same_sp_mean_7d,0.016991406012051135,0.0025197354522213835
wind_pct_lag_48,0.0061264607721162045,0.002447140165247841
wind_pct_lag_336,0.014524182889783988,0.0022527730140667573
gas_pct_lag_48,0.014146748340439008,0.0025447711330838676
gas_pct_lag_336,0.01619275582451396,0.002225274911742486
cpi_index,0.0,0.0
cpi_yoy,0.0,0.0
heating_degree,0.0011310583036353127,0.001292344927034025
cooling_degree,0.0,0.0
temp_c_lag_48,0.010306262587188387,0.0022582254151135794
temp_c_lag_336,0.010315414891206753,0.001390176904295772
wind_ms_lag_48,0.01221507725616915,0.0011149873029770475
wind_ms_lag_336,0.018867699604449208,0.003358758701913962
solar_wm2_lag_48,0.07730913185059836,0.025887640490280243
solar_wm2_lag_336,0.061211895776150695,0.012995212272897795
precip_mm_lag_48,0.012272707498804181,0.0013789725745946137
precip_mm_lag_336,0.008809406899703309,0.0013541915676997297
ssp_daily_mean_lag1d,0.0014610187464377366,0.0005592121885911288
ssp_daily_mean_lag7d,0.018479659619886023,0.007750086299271736
ssp_raw_daily_max_lag1d,0.004322077031919847,0.0017494955136530012
niv_daily_mean_lag1d,0.010001408254841726,0.0023458755386412396
spike_count_lag1d,0.014428364935081284,0.0022460636549706237
spike_count_roll_7d,0.00027781414886480783,0.0004904784112315498
ssp_daily_roll_mean_7d,0.0015868601863625819,0.0007683632125353829
ssp_daily_roll_std_7d,0.00914961691150662,0.0015369586074643585
temp_c_daily_mean_lag1d,0.0012196820494764448,0.000764360435156213
wind_ms_daily_mean_lag1d,0.008334140894319253,0.0021644474545341667
solar_wm2_daily_mean_lag1d,0.008705642713574213,0.0008230401029283489
ssp_lag48_deviation,0.004033936024633022,0.0019359868399269206
ssp_lag336_deviation,0.015111691151589035,0.003146289725515497
